Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
"(Lyon) Formateur Décisionnel Business Objets, QlikView, ODI, Talend, Pentaho","(Lyon) Formateur Décisionnel Business Objets, QlikView, ODI, Talend, Pentaho - Lyon (69) - Indeed.fr",Dawan,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Junior Data Scientist M/W,Junior Data Scientist M/W - Saint-Denis (93) - Indeed.fr,Valeo,Valeo,2,"4,0","3,6","3,9","3,4","3,5","3,7"
Statisticien Junior (H/F),Statisticien Junior (H/F) - Lyon 6e (69) - Indeed.fr,OPEN EMPLOI,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Staff Data Scientist, Cognition","Staff Data Scientist, Cognition - Paris (75) - Indeed.fr",Schibsted Media Group,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lead Data Scientist (H/F) - CDI Paris,Lead Data Scientist (H/F) - CDI Paris - Paris (75) - Indeed.fr,Kapten,KAPTEN,4,"4,0","3,5","3,3","3,8","4,0","4,8"
Data Scientist,Data Scientist - Paris (75) - Indeed.fr,TINYCLUES,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Research Technician M/W STRUCTURAL ANALYSES(Mass spectrometry),Research Technician M/W STRUCTURAL ANALYSES(Mass spectrometry) - Saint-Fons (69) - Indeed.fr,Solvay,Solvay,266,"3,9","3,7","3,8","3,4","3,4","3,6"
Ingénieur Data Project Manager,Ingénieur Data Project Manager - Lyon (69) - Indeed.fr,Go Concept,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist F/H - Editeur de logiciel- Lyon,Data Scientist F/H - Editeur de logiciel- Lyon - Lyon (69) - Indeed.fr,Evowlve,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Science and Artificial Intelligence Research Scientist,Data Science and Artificial Intelligence Research Scientist - Palaiseau (91) - Indeed.fr,Total,Total,1,"3,9","3,7","3,6","3,4","3,5","3,6"
TEAM LEADER BIOINFORMATICS,TEAM LEADER BIOINFORMATICS - Lyon (69) - Indeed.fr,Evotec,Evotec,7,"3,9","3,2","4,0","2,2","3,2","3,8"
"Research Scientist - Machine Learning, Operations Research, Optimization","Research Scientist - Machine Learning, Operations Research, Optimization - Paris (75) - Indeed.fr",Uber,Uber,531,"3,8","3,8","3,4","3,0","3,4","3,7"
Ingénieur Data (H/F),Ingénieur Data (H/F) - Lyon (69) - Indeed.fr,LIP - Solutions RH,LIP Interim,17,"4,4","4,3","3,9","3,7","4,2","4,3"
Data scientist / formateur Python,Data scientist / formateur Python - Paris 12e (75) - Indeed.fr,Stat4decision,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist,Data Scientist - Paris (75) - Indeed.fr,Drivy,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Développeur full Stack H/F (Lyon),Développeur full Stack H/F (Lyon) - Lyon (69) - Indeed.fr,Keyrus,Keyrus,10,"3,8","3,4","3,0","2,8","3,2","3,2"
DATA SCIENTIST - F/H,DATA SCIENTIST - F/H - 92100 Boulogne-Billancourt - Indeed.fr,Ingeniance,INGENIANCE,18,"3,7","3,9","3,8","3,7","3,4","4,0"
Ingénieur décisionnel SAS H/F,Ingénieur décisionnel SAS H/F - Lyon 6e (69) - Indeed.fr,2s 2i Solutions & Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Développeur JavaScript H/F (Lyon),Développeur JavaScript H/F (Lyon) - Lyon (69) - Indeed.fr,Keyrus,Keyrus,10,"3,8","3,4","3,0","2,8","3,2","3,2"
Consultant confirmé Data Scientist – H/F,Consultant confirmé Data Scientist – H/F - 92300 Levallois-Perret - Indeed.fr,Micropole,MICROPOLE,11,"3,5","3,8","3,4","3,0","3,0","3,6"
Big Data Engineer (H/F),Big Data Engineer (H/F) - Paris (75) - Indeed.fr,Grupo Norconsulting SL,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lead Développeur_Projet éthique_Python/Django_Lyon F/H,Lead Développeur_Projet éthique_Python/Django_Lyon F/H - Lyon 1er (69) - Indeed.fr,BLUECODERS,Bluecoders,4,"5,0","5,0","5,0","5,0","5,0","5,0"
FULL STACK DÉVELOPPEUR H/F - STAGE 6 MOIS,FULL STACK DÉVELOPPEUR H/F - STAGE 6 MOIS - Levallois-Perret (92) - Indeed.fr,BNP Paribas Personal Finance,BNP Paribas Personal Finance,96,"4,0","4,0","3,9","3,6","3,6","3,8"
Ingénieur développement Python F/H,Ingénieur développement Python F/H - Lyon 3e (69) - Indeed.fr,KAIZEN SOLUTIONS,Kaizen IT,47,"3,7","3,7","3,1","3,3","3,5","3,7"
Data Manager F/H,Data Manager F/H - Lyon (69) - Indeed.fr,effektiv,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MACHINE LEARNING (H/F),MACHINE LEARNING (H/F) - Puteaux (92) - Indeed.fr,OUI.sncf,OUI.sncf,7,"3,4","3,9","3,4","3,6","2,6","3,3"
Data Engineer Junior H/F,Data Engineer Junior H/F - Lyon (69) - Indeed.fr,Atos,ATOS,2,"3,6","3,6","3,3","3,2","3,2","3,4"
Ingénieur Poste de Travail H/F,Ingénieur Poste de Travail H/F - Paris (75) - Indeed.fr,Uniware Global Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ingénieurs de Production Unix/Linux/Windows H/F,Ingénieurs de Production Unix/Linux/Windows H/F - Paris (75) - Indeed.fr,Uniware Global Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Tool and Build Engineer (H/F),Tool and Build Engineer (H/F) - Lyon (69) - Indeed.fr,Ubisoft,Ubisoft,190,"4,0","4,0","3,3","3,4","3,5","4,1"
Stage de fin d’études Consultant(e) Data Science,Stage de fin d’études Consultant(e) Data Science - 75008 Paris 8e - Indeed.fr,Sia Partners,Sia Partners,7,"4,0","4,2","4,2","4,0","3,0","4,2"
CDI - Lead Data Analyst (H/F),CDI - Lead Data Analyst (H/F) - 75009 Paris 9e - Indeed.fr,Younited Credit,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Research scientist,Research scientist - Paris (75) - Indeed.fr,Dataiku,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Développeur Full Stack (Python) - Stage fin d'étude,Développeur Full Stack (Python) - Stage fin d'étude - 69100 Villeurbanne - Indeed.fr,DataGenius,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ingénieur développement d'outil de supervision industriel (MES) F/H,Ingénieur développement d'outil de supervision industriel (MES) F/H - Lyon 3e (69) - Indeed.fr,KAIZEN SOLUTIONS,Kaizen IT,47,"3,7","3,7","3,1","3,3","3,5","3,7"
Stage - Chargé d'interprétabilité des modèles Data Science-(H/F),Stage - Chargé d'interprétabilité des modèles Data Science-(H/F) - La Défense (92) - Indeed.fr,Société Générale,Société Générale,2,"3,9","3,8","3,6","3,6","3,5","3,7"
Développeur web F/H,Développeur web F/H - Lyon 3e (69) - Indeed.fr,KAIZEN SOLUTIONS,Kaizen IT,47,"3,7","3,7","3,1","3,3","3,5","3,7"
Développeur SCALA,Développeur SCALA - Lyon (69) - Indeed.fr,HumainEA,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Research Software Engineer in Data Science,Research Software Engineer in Data Science - Paris (75) - Indeed.fr,Uber,Uber,531,"3,8","3,8","3,4","3,0","3,4","3,7"
Développeur C# MVC .Net,Développeur C# MVC .Net - 69578 Limonest - Indeed.fr,LDLC,LDLC,7,"4,7","4,3","3,8","4,0","3,8","3,3"
Consultant Junior en Data Science – Mazars Zettafox – Paris Septembre 2019 H/F,Consultant Junior en Data Science – Mazars Zettafox – Paris Septembre 2019 H/F - Paris (75) - Indeed.fr,Mazars,Mazars,286,"3,8","3,4","3,4","3,5","3,3","3,6"
Ingénieur Data (H/F),Ingénieur Data (H/F) - Lyon (69) - Indeed.fr,LIP - Solutions RH,LIP Interim,17,"4,4","4,3","3,9","3,7","4,2","4,3"
Ingénieur/Ingénieure Etudes et Développement C#,Ingénieur/Ingénieure Etudes et Développement C# - Lyon (69) - Indeed.fr,INSIDE LYON,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Engineer H/F (Paris),Data Engineer H/F (Paris) - Paris (75) - Indeed.fr,UNTIENOTS,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Associate scientist - Immunology,Associate scientist - Immunology - Paris (75) - Indeed.fr,HiFiBiO Therapeutics,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
