Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Consultant décisionnel junior – Domaine Business Intelligence et Big Data H/F,Consultant décisionnel junior – Domaine Business Intelligence et Big Data H/F - Paris (75) - Indeed.fr,CGI,CGI Group,2,"3,7","3,7","3,5","3,3","3,3","3,5"
Consultant SAS - LYON (F/H),Consultant SAS - LYON (F/H) - Lyon (69) - Indeed.fr,Novencia,Novencia,5,"5,0","5,0","5,0","5,0","5,0","5,0"
Business Intelligence - (F/H) - Internship,Business Intelligence - (F/H) - Internship - Paris (75) - Indeed.fr,AXA,AXA,1,"3,9","3,8","3,6","3,4","3,5","3,7"
STAGE - CONSULTANT BI/DECISIONNEL,STAGE - CONSULTANT BI/DECISIONNEL - Lyon 3e (69) - Indeed.fr,ALTIVIEW,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"(Lyon) Formateur Décisionnel Business Objets, QlikView, ODI, Talend, Pentaho","(Lyon) Formateur Décisionnel Business Objets, QlikView, ODI, Talend, Pentaho - Lyon (69) - Indeed.fr",Dawan,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CDI IT Business Partner Junior H/F,CDI IT Business Partner Junior H/F - Rueil-Malmaison (92) - Indeed.fr,Unilever,Unilever,5,"4,2","3,9","4,0","3,7","3,8","4,0"
INGENIEUR DECISIONNEL,INGENIEUR DECISIONNEL - Limonest (69) - Indeed.fr,ACTA,ACTA,22,"4,0","3,3","3,4","2,6","3,4","3,2"
DEVELOPPEUR MS BI - F/H,DEVELOPPEUR MS BI - F/H - 92100 Boulogne-Billancourt - Indeed.fr,Ingeniance,INGENIANCE,18,"3,7","3,9","3,8","3,7","3,4","4,0"
Data Base Administrator F/H,Data Base Administrator F/H - Paris (75) - Indeed.fr,MF CONSULTING,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IT BI Senior Business Analyst,IT BI Senior Business Analyst - Lyon (69) - Indeed.fr,Louis Dreyfus Company,Louis Dreyfus Company,423,"4,0","3,8","3,8","3,5","3,6","3,8"
Stage Juillet 2019 - Business Intelligence & Data Analyst - Retail/Tech,Stage Juillet 2019 - Business Intelligence & Data Analyst - Retail/Tech - Paris (75) - Indeed.fr,L'AgenceRP,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Analyst,Data Analyst - 75008 Paris 8e - Indeed.fr,Bolden,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Customer Success Manager - France,Customer Success Manager - France - Paris (75) - Indeed.fr,Glassdoor,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant senior Conseil BI H/F (Lyon),Consultant senior Conseil BI H/F (Lyon) - Lyon (69) - Indeed.fr,Keyrus,Keyrus,10,"3,8","3,4","3,0","2,8","3,2","3,2"
Chargé de Recrutement Généraliste (H/F),Chargé de Recrutement Généraliste (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
CONCEPTEUR DEVELOPPEUR BUSINESS INTELLIGENCE H/F,CONCEPTEUR DEVELOPPEUR BUSINESS INTELLIGENCE H/F - Lyon (69) - Indeed.fr,Econocom,Econocom,84,"3,0","3,0","2,5","2,5","2,7","2,7"
Customer Operations Manager,Customer Operations Manager - Courbevoie (92) - Indeed.fr,HERE Technologies,HERE Technologies,223,"3,8","4,1","3,7","3,4","3,4","3,9"
DÉVELOPPEUR BUSINESS INTELLIGENCE F/H,DÉVELOPPEUR BUSINESS INTELLIGENCE F/H - Lyon 2e (69) - Indeed.fr,TEREVA,TEREVA,17,"2,9","3,1","2,4","2,7","2,8","3,2"
Analyste Fonctionnel Business Intelligence F/H,Analyste Fonctionnel Business Intelligence F/H - Lyon 7e (69) - Indeed.fr,Groupe AVEM,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CONSULTANT(E) DÉCISIONNEL,CONSULTANT(E) DÉCISIONNEL - Lyon (69) - Indeed.fr,Isodom,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chef de projet décisionnel (H/F),Chef de projet décisionnel (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Customer Success Manager - France,Customer Success Manager - France - Paris (75) - Indeed.fr,Glassdoor,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Expert Conseil,Expert Conseil - Lyon (69) - Indeed.fr,KPMG,KPMG,5,"4,0","3,4","3,6","3,8","3,7","3,8"
