Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
IT Graduate program - Data Engineer (H/F),IT Graduate program - Data Engineer (H/F) - Lyon (69) - Indeed.fr,Volvo,Volvo,2,"4,1","4,0","4,0","3,6","3,6","3,9"
PRICING analyste informatique H/F,PRICING analyste informatique H/F - Lyon (69) - Indeed.fr,FED IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Trading Support Analyst,Trading Support Analyst - Paris (75) - Indeed.fr,Radley James,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Junior Data Analyst,Junior Data Analyst - Paris 2e (75) - Indeed.fr,vroom,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sr. Salesforce Analyst,Sr. Salesforce Analyst - Saint-Priest (69) - Indeed.fr,ResMed,ResMed,93,"3,8","3,6","4,0","3,0","3,2","3,5"
Data Analyst H/F,Data Analyst H/F - 92290 Châtenay-Malabry - Indeed.fr,Verisure par Securitas Direct,Verisure par Securitas Direct,204,"4,0","3,3","3,8","4,0","3,8","4,0"
Analyste Décisionnel F/H,Analyste Décisionnel F/H - Lyon 9e (69) - Indeed.fr,KEYRUS,Keyrus,10,"3,8","3,4","3,0","2,8","3,2","3,2"
ITS Cyber Security Operations Center (SOC) Analyst M/F,ITS Cyber Security Operations Center (SOC) Analyst M/F - Lyon (69) - Indeed.fr,Sanofi,Sanofi,3,"4,1","4,0","4,0","3,5","3,7","3,8"
Data Ops Engineer H/F,Data Ops Engineer H/F - 92300 Levallois-Perret - Indeed.fr,Jellysmack,Jellysmack,11,"4,4","4,2","4,0","4,1","4,2","4,4"
Stage Analyste Pricing H/F,Stage Analyste Pricing H/F - Lyon (69) - Indeed.fr,Nexans,Nexans,307,"4,0","3,9","4,1","3,4","3,5","3,7"
Data Analyst Usines - Business Analytics (H/F),Data Analyst Usines - Business Analytics (H/F) - Guyancourt (78) - Indeed.fr,Renault,Renault,3,"4,0","3,9","3,7","3,5","3,6","3,8"
Analyste Fonctionnel Business Intelligence F/H,Analyste Fonctionnel Business Intelligence F/H - Lyon 7e (69) - Indeed.fr,Groupe AVEM,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist Junior H/F,Data Scientist Junior H/F - Saint-Denis (93) - Indeed.fr,Valeo,Valeo,2,"4,0","3,6","3,9","3,4","3,5","3,7"
