Titre,Titre2,Nom,Nom2,Avis,NoteGlobale,Équilibre_vie_professionnelle_personnelle,Salaire_Avantages_sociaux,Sécurité_emploi_Évolution_carrière,Management,Culture_d'entreprise,Metier
ITS Cyber Security Operations Center (SOC) Analyst M/F,ITS Cyber Security Operations Center (SOC) Analyst M/F - Lyon (69) - Indeed.fr,Sanofi,Sanofi,3.0,"4,1","4,0","4,0","3,5","3,7","3,8",data_analyst
Data Ops Engineer H/F,Data Ops Engineer H/F - 92300 Levallois-Perret - Indeed.fr,Jellysmack,Jellysmack,11.0,"4,4","4,2","4,0","4,1","4,2","4,4",data_analyst
Stage Analyste Pricing H/F,Stage Analyste Pricing H/F - Lyon (69) - Indeed.fr,Nexans,Nexans,307.0,"4,0","3,9","4,1","3,4","3,5","3,7",data_analyst
Data Analyst Usines - Business Analytics (H/F),Data Analyst Usines - Business Analytics (H/F) - Guyancourt (78) - Indeed.fr,Renault,Renault,3.0,"4,0","3,9","3,7","3,5","3,6","3,8",data_analyst
Analyste Fonctionnel Business Intelligence F/H,Analyste Fonctionnel Business Intelligence F/H - Lyon 7e (69) - Indeed.fr,Groupe AVEM,,,,,,,,,data_analyst
Stage - Développeur Portail Collaboratif Avancé H/F,Stage - Développeur Portail Collaboratif Avancé H/F - Lyon (69) - Indeed.fr,Atos,ATOS,2.0,"3,6","3,6","3,3","3,2","3,2","3,4",data_analyst
Marketing Data Analyst - Blédina (h/f),Marketing Data Analyst - Blédina (h/f) - Limonest (69) - Indeed.fr,DANONE,Danone,2.0,"4,2","3,9","4,0","3,7","3,8","4,0",data_analyst
Stage - Operations Projects & Data Analyst (H/F),Stage - Operations Projects & Data Analyst (H/F) - Paris (75) - Indeed.fr,Frichti,Frichti,16.0,"3,3","3,4","3,1","3,2","2,9","3,4",data_analyst
Business Analyst- Lyon- Montreal Asscociates,Business Analyst- Lyon- Montreal Asscociates - Lyon (69) - Indeed.fr,montreal,,,,,,,,,data_analyst
Data Analyst (stage),Data Analyst (stage) - Paris (75) - Indeed.fr,Selency,,,,,,,,,data_analyst
