Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
DATA ANALYST (H/F),DATA ANALYST (H/F) - RUNGIS (94) - INDEED.FR,Thales Group,Thales,1.0,"4,0","4,0","4,0","3,5","3,5","3,8"
DATA ANALYST TABLEAU JUNIOR,DATA ANALYST TABLEAU JUNIOR - VINCENNES (94) - INDEED.FR,Synaltic,,,,,,,,
ALTERNANCE - LICENCE MANAGEMENT DES EQUIPES ET DÉVELOPPEMENT DURABLE (LYON) H/F - H/F,ALTERNANCE - LICENCE MANAGEMENT DES EQUIPES ET DÉVELOPPEMENT DURABLE (LYON) H/F - H/F - LYON (69) - INDEED.FR,EDF,EDF,1.0,"4,0","3,9","3,9","3,6","3,5","3,7"
ANALYSTE FONCTIONNEL SI,ANALYSTE FONCTIONNEL SI - 69007 LYON 7E - INDEED.FR,INOVEN,,,,,,,,
DATA ANALYST FIDÉLISATION & ANIMATION CLIENTS F/H,DATA ANALYST FIDÉLISATION & ANIMATION CLIENTS F/H - IVRY-SUR-SEINE (94) - INDEED.FR,Fnac,Fnac,452.0,"4,0","3,8","3,5","3,2","3,6","3,9"
DATA ANALYSTE MASTER DATA SUR LYON 7 (H/F),DATA ANALYSTE MASTER DATA SUR LYON 7 (H/F) - 69007 LYON 7E - INDEED.FR,Manpower,Manpower,14.0,"3,8","3,7","3,3","3,2","3,5","3,6"
DATA ANALYST CONNAISSANCE CLIENTS,DATA ANALYST CONNAISSANCE CLIENTS - PARIS (75) - INDEED.FR,Le Groupe La Poste,Le Groupe La Poste,1.0,"3,8","3,7","3,4","3,3","3,3","3,5"
STAGE - DATA ANALYST - H/F,STAGE - DATA ANALYST - H/F - SURESNES (92) - INDEED.FR,AXA,AXA,1.0,"3,9","3,8","3,6","3,4","3,5","3,7"
DATA ANALYST FIDÉLISATION & ANIMATION CLIENTS F/H,DATA ANALYST FIDÉLISATION & ANIMATION CLIENTS F/H - IVRY-SUR-SEINE (94) - INDEED.FR,Fnac-Darty,,,,,,,,
DATA ANALYST JUNIOR,DATA ANALYST JUNIOR - PARIS (75) - INDEED.FR,Bien'ici,,,,,,,,
